"expo","Age8_corr","Age7_corr","Age6_corr","Age5_corr","Age4_corr","Age3_corr","Age2_corr","Age1_corr"
"DP02_0122PE",0.0416929752763053,0.0383237958328438,0.226441954496507,0.318247124944956,0.255786079899522,0.18371095139649,0.154659170540757,0.100757069441918
"DP02_0123PE",-0.0287214104182932,-0.260947433794,-0.438426967551673,-0.463241529465741,-0.456365766695295,-0.427811757255771,-0.318080167131295,-0.406042016698741
"DP02_0124PE",0.0562787002358645,0.0165902686446787,0.0310322617674393,-0.0771259310748219,-0.0906033310225989,-0.110622540891981,-0.0485459349647188,-0.150805345779756
"DP02_0125PE",-0.0704199711096754,-0.269587043712088,-0.372256068556093,-0.42573732264795,-0.423008183692874,-0.415804238484417,-0.338256775612385,-0.360910335865532
"DP02_0126PE",-0.043598649756466,-0.306779482402893,-0.462540378444861,-0.470933901569582,-0.454158802175004,-0.461515440100389,-0.34790788541245,-0.322119325083813
"DP02_0127PE",-0.0225895048278674,-0.246661238261208,-0.426244577003944,-0.483684747939112,-0.510702987927711,-0.484307093590151,-0.447616255192551,-0.439935008905679
"DP02_0128PE",-0.0852137000059677,-0.394651641710686,-0.617874976011977,-0.646197005674009,-0.679789451367723,-0.673995946071222,-0.522039732730458,-0.491124195887125
"DP02_0129PE",-0.0697508123159613,-0.327443137763351,-0.511328685219438,-0.532176951144652,-0.571003196475296,-0.573065623076539,-0.462426672632032,-0.414200320964624
"DP02_0130PE",-0.0540642096566322,-0.283970718029032,-0.415171208868834,-0.433568353278989,-0.457718962706149,-0.448527552205277,-0.368212541336855,-0.365045998244104
"DP02_0131PE",-0.0886949412284836,-0.457733161254283,-0.654647570725397,-0.699668802993566,-0.727834104744462,-0.721864832378359,-0.58734503284308,-0.55795384832757
"DP02_0132PE",0.0590565871279442,-0.216484404904936,-0.314834511131514,-0.404730998343117,-0.410497961522012,-0.418217075760818,-0.289253656987077,-0.396215369902655
"DP02_0133PE",0.052519712620574,-0.132242124624151,-0.327431464297623,-0.416185465181494,-0.444170729487002,-0.448397133073432,-0.340079978114855,-0.400827478705509
"DP02_0134PE",-0.0686519411422552,-0.368713948699712,-0.560497439819494,-0.626075502424284,-0.64700200926482,-0.648792826365248,-0.523589875900717,-0.583922416621798
"DP02_0135PE",-0.0567279112820375,-0.340516129644572,-0.434670548274721,-0.487925680318707,-0.489494541650763,-0.51581812008072,-0.392359894896893,-0.435238428402977
"DP02_0136PE",0.0162957294702769,-0.176039710311523,-0.293710972046536,-0.332431826472762,-0.332355505939636,-0.347876928705651,-0.277920120014525,-0.340324359129036
"DP02_0137PE",-0.0909839001818441,-0.366359150818259,-0.470872475267328,-0.4919073829701,-0.514848869040188,-0.482020271009564,-0.365501296732969,-0.340290018066392
"DP02_0138PE",-0.0979837196337254,-0.290913595703473,-0.308992409059099,-0.36006926083466,-0.331960689281029,-0.373460517309758,-0.250330041822642,-0.356911626910433
"DP02_0139PE",0.163202441429403,-0.0145325923258514,-0.174275714563008,-0.223808826899123,-0.253554950860677,-0.268706883071038,-0.231868145360726,-0.186669892365695
"DP02_0140PE",0.0875103013691895,-0.123782668213622,-0.230572577137446,-0.260333812778025,-0.267696475221034,-0.280813291475069,-0.18674384443358,-0.25696559542639
"DP02_0141PE",-0.0346578858848125,-0.317117848074011,-0.494904442079283,-0.538422358698853,-0.559316772088413,-0.566182609921433,-0.463421315920744,-0.402511548219511
"DP02_0142PE",-0.0202474762797448,-0.332260065983719,-0.547789109020347,-0.585300059596216,-0.641918426759874,-0.662960401812983,-0.525233763861454,-0.492660863380808
"DP02_0143PE",-0.0215068093376061,-0.165446106254009,-0.242992680204566,-0.318666163387758,-0.297049221559739,-0.340360788324013,-0.256116395102519,-0.29651057395686
"DP02_0144PE",0.119516510804746,0.16067268696356,0.108441496972261,0.0748468039834004,0.0162574679409651,0.018169763874371,-0.0821846914799455,0.00828049920681623
"DP02_0145PE",-0.139383570141734,-0.358398723264169,-0.487702790597178,-0.490182594321225,-0.503569113437482,-0.461542733556242,-0.357221400390415,-0.33207201138384
"DP02_0146PE",-0.0669033659330908,-0.312600387091292,-0.432706994811198,-0.475842231774826,-0.52182756414698,-0.485292509629122,-0.399390825943244,-0.369885086347322
"DP02_0147PE",0.0599939646251651,-0.126203339406114,-0.170417499884894,-0.224283751987974,-0.254600935947348,-0.294229744522151,-0.192395904257234,-0.274483851611225
"DP02_0148PE",-0.00483311694706356,-0.277974762291096,-0.477526206625142,-0.513722372601639,-0.554088812629703,-0.571396363124011,-0.471735644983858,-0.40626162762318
"DP02_0149PE",0.19982282960949,0.117898739204488,0.160556223758379,0.125905549932175,0.112255861372593,0.139244136309414,0.0921838483634529,0.189172244314296
